Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
61.695: [GC (Allocation Failure) 61.695: [ParNew: 104404K->10240K(153600K), 0.0016735 secs] 105359K->11194K(256000K), 0.0018114 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
62.704: [GC (Allocation Failure) 62.704: [ParNew: 104404K->0K(153600K), 0.0005087 secs] 105359K->954K(256000K), 0.0006086 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
63.714: [GC (Allocation Failure) 63.714: [ParNew: 94164K->10240K(153600K), 0.0012974 secs] 95119K->11194K(256000K), 0.0016322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
64.720: [GC (Allocation Failure) 64.721: [ParNew: 104404K->20480K(153600K), 0.0016660 secs] 105359K->21434K(256000K), 0.0018152 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
65.729: [GC (Allocation Failure) 65.729: [ParNew: 114644K->30720K(153600K), 0.0032643 secs] 115599K->31674K(256000K), 0.0034030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.744: [GC (Allocation Failure) 67.744: [ParNew: 124884K->0K(153600K), 0.0014180 secs] 125839K->954K(256000K), 0.0016751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.761: [GC (Allocation Failure) 68.761: [ParNew: 94164K->10240K(153600K), 0.0021681 secs] 95119K->11194K(256000K), 0.0024200 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
69.773: [GC (Allocation Failure) 69.773: [ParNew: 104404K->10240K(153600K), 0.0011945 secs] 105359K->11194K(256000K), 0.0013680 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
70.787: [GC (Allocation Failure) 70.787: [ParNew: 104404K->10240K(153600K), 0.0012389 secs] 105359K->11194K(256000K), 0.0014262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.801: [GC (Allocation Failure) 71.801: [ParNew: 104404K->0K(153600K), 0.0006632 secs] 105359K->954K(256000K), 0.0011655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
